kind,id,x_or_capacity,y_or_shift_start,service_or_shift_end,demand_or_skills,earliest_or_fixed,latest_or_per_km,skill_or_task,base
meta,fsr-01,17,0,0,29,0,0,48,1
vehicle,0,380.00000000000000000,28800.00000000000000000,72000.00000000000000000,5,72.00000000000000000,0.78000000000000003,0,0
vehicle,1,410.00000000000000000,28800.00000000000000000,72000.00000000000000000,3,77.00000000000000000,0.81500000000000006,0,0
vehicle,2,440.00000000000000000,28800.00000000000000000,72000.00000000000000000,6,82.00000000000000000,0.85000000000000009,0,0
vehicle,3,380.00000000000000000,28800.00000000000000000,72000.00000000000000000,1,87.00000000000000000,0.88500000000000001,0,0
vehicle,4,410.00000000000000000,28800.00000000000000000,72000.00000000000000000,2,92.00000000000000000,0.92000000000000004,0,0
vehicle,5,440.00000000000000000,28800.00000000000000000,72000.00000000000000000,4,97.00000000000000000,0.95500000000000007,0,0
vehicle,6,380.00000000000000000,28800.00000000000000000,72000.00000000000000000,3,102.00000000000000000,0.98999999999999999,0,0
vehicle,7,410.00000000000000000,28800.00000000000000000,72000.00000000000000000,7,107.00000000000000000,1.02500000000000013,0,0
task,0,15.14607899640236255,-4.99981925442132891,1594.00000000000000000,29.00000000000000000,29696.24859296659269603,44396.24859296659269603,4,1
task,1,18.74629960020717689,-3.84822151534000501,1247.00000000000000000,28.00000000000000000,30673.74230072134741931,57073.74230072135105729,1,1
task,2,20.77374690317396144,-3.80863740539948914,640.00000000000000000,26.00000000000000000,32072.82982735610858072,58472.82982735610858072,4,1
task,3,21.40827302750506433,-0.20726386029493327,1171.00000000000000000,30.00000000000000000,33887.09319681662600487,48587.09319681662600487,4,1
task,4,21.73958828933630372,0.54116325675731058,1402.00000000000000000,45.00000000000000000,34219.47935451093508163,60619.47935451093508163,4,1
task,5,20.41003959020474667,4.43438049740901796,991.00000000000000000,43.00000000000000000,35930.02793459642271046,62330.02793459642271046,4,1
task,6,18.59646086937398834,3.44238456865456888,1587.00000000000000000,32.00000000000000000,37976.06444903302326566,52676.06444903302326566,4,1
task,7,16.23580653619043801,11.16649480301276753,1366.00000000000000000,36.00000000000000000,29977.88450593171364744,44677.88450593171000946,1,1
task,8,17.15859958534613483,13.62080159496024656,1361.00000000000000000,33.00000000000000000,30640.53857969629098079,57040.53857969629461877,2,1
task,9,18.43823065361637248,13.40366627604276495,1096.00000000000000000,45.00000000000000000,32098.88278457784326747,58498.88278457784326747,1,1
task,10,17.69864369984937724,17.15052575870357643,1538.00000000000000000,34.00000000000000000,34381.31940889997349586,49081.31940889997349586,1,1
task,11,15.84975053253208443,17.53717856847298506,999.00000000000000000,41.00000000000000000,35160.98617691363324411,61560.98617691363324411,2,1
task,12,15.16516738591219671,16.92459773393592215,690.00000000000000000,43.00000000000000000,36228.88458160898153437,62628.88458160898153437,2,1
task,13,11.77587778942677588,17.46461970809408726,984.00000000000000000,39.00000000000000000,38076.28768147469236283,52776.28768147469236283,2,1
task,14,5.25458697651746487,22.77676851530853241,1334.00000000000000000,41.00000000000000000,30253.12699458775023231,44953.12699458775023231,2,1
task,15,3.87848569217616834,24.52268252486334887,886.00000000000000000,36.00000000000000000,30853.85438110112954746,57253.85438110113318544,4,1
task,16,1.66655672521727594,27.06275879709509269,1365.00000000000000000,39.00000000000000000,31992.46766634737286950,58392.46766634737286950,4,1
task,17,-0.46517610832840955,26.97732598533191606,1539.00000000000000000,26.00000000000000000,34417.47597228507220279,49117.47597228507220279,2,1
task,18,-1.14940702284182072,25.10732763719479621,1257.00000000000000000,46.00000000000000000,35205.81951896876125829,61605.81951896876125829,2,1
task,19,-4.35377330343560143,23.68870901412926600,826.00000000000000000,39.00000000000000000,36725.64548149105394259,63125.64548149105394259,2,1
task,20,-9.17801742905931306,14.14168874923847241,1428.00000000000000000,29.00000000000000000,29764.41940269933911623,44464.41940269933547825,1,1
task,21,-9.83405996658628290,17.44926092734846179,646.00000000000000000,41.00000000000000000,30545.31986449220130453,56945.31986449220130453,1,1
task,22,-12.07574006865907990,16.18059185932318300,1085.00000000000000000,27.00000000000000000,31384.50348497692903038,57784.50348497692903038,1,1
task,23,-14.05947308147167618,13.85304795657566679,681.00000000000000000,33.00000000000000000,33598.86934387932706159,48298.86934387932706159,1,1
task,24,-17.63107958817666443,12.44001605120011966,1158.00000000000000000,38.00000000000000000,33667.94191485658666352,60067.94191485658666352,1,1
task,25,-16.21247936192782646,11.19279289810452482,1616.00000000000000000,32.00000000000000000,34967.61038735439069569,61367.61038735439069569,1,1
task,26,-19.71632293620473675,3.01624749184058683,1391.00000000000000000,30.00000000000000000,29995.92785828535488690,44695.92785828535852488,2,1
task,27,-23.04911127727211806,4.30119343775438345,1583.00000000000000000,32.00000000000000000,30754.82135145530264708,57154.82135145530628506,2,1
task,28,-24.48491365473626047,2.45467812108618144,1591.00000000000000000,43.00000000000000000,32513.24997927941149101,58913.24997927941149101,2,1
task,29,-24.91841497861949861,0.06877627144301864,1157.00000000000000000,43.00000000000000000,35186.12228906269592699,49886.12228906269592699,2,1
task,30,-21.91227094897787353,-2.66090896110616271,717.00000000000000000,34.00000000000000000,35747.66369692224543542,62147.66369692224543542,2,1
task,31,-22.62681835183354195,-2.60093940434048010,1314.00000000000000000,41.00000000000000000,36518.44316005640575895,62918.44316005640575895,2,1
task,32,-19.62757660481399924,-11.89830569795926429,991.00000000000000000,33.00000000000000000,30221.42800037123743095,44921.42800037123379298,4,1
task,33,-21.80868471363852024,-13.88086831605532900,761.00000000000000000,37.00000000000000000,30533.49089308147449628,56933.49089308147085831,4,1
task,34,-19.45016546398615276,-17.36450615888284332,875.00000000000000000,43.00000000000000000,31610.01140651784953661,58010.01140651784953661,4,1
task,35,-19.21530677480561877,-18.25618545853546593,1090.00000000000000000,30.00000000000000000,33454.16818129359307932,48154.16818129359307932,4,1
task,36,-15.66587333034866347,-18.43334697183242099,977.00000000000000000,32.00000000000000000,33910.70708066595398122,60310.70708066595398122,4,1
task,37,-14.45939792743662444,-17.60972011012320593,1274.00000000000000000,34.00000000000000000,34997.26727230292453896,61397.26727230292453896,4,1
task,38,-4.99393450407829320,-16.80309287910376170,839.00000000000000000,26.00000000000000000,29814.71237567701973603,44514.71237567701609805,1,1
task,39,-3.19552930279184588,-19.48218205027526650,1047.00000000000000000,35.00000000000000000,29995.71705085903522559,56395.71705085903522559,1,1
task,40,-3.09556460995803251,-21.15660384585433462,720.00000000000000000,34.00000000000000000,31168.52228625266070594,57568.52228625265706796,2,1
task,41,0.23360284383065630,-20.35113890372503320,959.00000000000000000,27.00000000000000000,33045.41376063348434400,47745.41376063348434400,1,1
task,42,0.23975725161580286,-19.27572798870690107,1591.00000000000000000,27.00000000000000000,33185.07090002562472364,59585.07090002562472364,1,1
task,43,2.82510936578461269,-18.55795627688334903,1127.00000000000000000,26.00000000000000000,34977.30642133831133833,61377.30642133831133833,1,1
task,44,10.78735767311481197,-17.60825919135329087,1573.00000000000000000,45.00000000000000000,30048.74160527552885469,44748.74160527552885469,2,1
task,45,12.52930459950731645,-18.27676634035920955,1031.00000000000000000,42.00000000000000000,30861.67803754872875288,57261.67803754872875288,2,1
