niche_id,frequency_hz,gain_db,descriptor_log10_f0,descriptor_peak_gain_db
23,10,-76.19015761052755,2.873886826545331,-50.30815334135054
23,14.12537544622754,-73.19976618975693,2.873886826545331,-50.30815334135054
23,19.952623149688797,-70.21887534900047,2.873886826545331,-50.30815334135054
23,28.183829312644534,-67.25675692436837,2.873886826545331,-50.30815334135054
23,39.810717055349734,-64.33137992060412,2.873886826545331,-50.30815334135054
23,56.23413251903491,-61.4765954857512,2.873886826545331,-50.30815334135054
23,79.43282347242814,-58.75277054473163,2.873886826545331,-50.30815334135054
23,112.2018454301963,-56.25694610135132,2.873886826545331,-50.30815334135054
23,158.48931924611142,-54.11797964170789,2.873886826545331,-50.30815334135054
23,223.87211385683378,-52.4557785681222,2.873886826545331,-50.30815334135054
23,316.22776601683796,-51.31569513655165,2.873886826545331,-50.30815334135054
23,446.683592150963,-50.644733955466876,2.873886826545331,-50.30815334135054
23,630.957344480193,-50.34481111162489,2.873886826545331,-50.30815334135054
23,891.2509381337459,-50.347053527263405,2.873886826545331,-50.30815334135054
23,1258.9254117941675,-50.65204698820849,2.873886826545331,-50.30815334135054
23,1778.2794100389228,-51.32953572736816,2.873886826545331,-50.30815334135054
23,2511.88643150958,-52.47751774136824,2.873886826545331,-50.30815334135054
23,3548.133892335753,-54.14771129080354,2.873886826545331,-50.30815334135054
23,5011.87233627272,-56.29322418150237,2.873886826545331,-50.30815334135054
23,7079.457843841381,-58.79350871855699,2.873886826545331,-50.30815334135054
23,10000,-61.519999162120406,2.873886826545331,-50.30815334135054
23,14125.375446227554,-64.37625288577276,2.873886826545331,-50.30815334135054
23,19952.62314968879,-67.30240378237652,2.873886826545331,-50.30815334135054
23,28183.82931264449,-70.26492006174887,2.873886826545331,-50.30815334135054
23,39810.71705534969,-73.24601288776003,2.873886826545331,-50.30815334135054
23,56234.13251903491,-76.23650620033631,2.873886826545331,-50.30815334135054
23,79432.82347242821,-79.23173383115284,2.873886826545331,-50.30815334135054
23,112201.84543019629,-82.22934003179276,2.873886826545331,-50.30815334135054
23,158489.3192461114,-85.22813979995883,2.873886826545331,-50.30815334135054
23,223872.11385683378,-88.22753813588605,2.873886826545331,-50.30815334135054
23,316227.7660168379,-91.2272365585778,2.873886826545331,-50.30815334135054
23,446683.59215096256,-94.22708540410413,2.873886826545331,-50.30815334135054
23,630957.344480193,-97.227009645457,2.873886826545331,-50.30815334135054
23,891250.9381337459,-100.22697167570047,2.873886826545331,-50.30815334135054
23,1258925.411794166,-103.22695264562087,2.873886826545331,-50.30815334135054
23,1778279.410038923,-106.22694310795526,2.873886826545331,-50.30815334135054
23,2511886.431509577,-109.2269383277921,2.873886826545331,-50.30815334135054
