group,node
0,135
0,255
0,325
0,455
0,829
1,14
1,262
1,422
1,472
1,562
1,942
2,339
2,559
2,609
2,619
2,679
2,689
2,718
3,261
3,366
3,388
3,446
3,526
3,654
3,934
3,986
4,120
4,255
4,335
4,352
4,435
4,475
4,635
4,765
4,885
5,230
5,240
5,270
5,290
5,470
5,520
5,650
5,770
5,800
5,810
5,990
6,48
6,136
6,258
6,408
6,503
6,528
6,564
6,568
6,748
6,754
6,878
6,908
7,42
7,61
7,267
7,287
7,307
7,427
7,457
7,517
7,527
7,547
7,615
7,797
7,927
8,26
8,58
8,176
8,226
8,316
8,396
8,512
8,537
8,556
8,607
8,736
8,866
8,903
8,966
9,95
9,365
9,405
9,439
9,475
9,565
9,575
9,584
9,635
9,655
9,682
9,838
9,951
9,989
9,995
10,44
10,84
10,124
10,144
10,214
10,244
10,384
10,414
10,474
10,484
10,514
10,714
10,746
10,774
10,784
10,824
10,864
11,14
11,34
11,74
11,254
11,324
11,334
11,365
11,384
11,454
11,574
11,634
11,654
11,705
11,754
11,770
11,964
11,974
11,995
12,45
12,75
12,85
12,95
12,105
12,155
12,245
12,315
12,395
12,425
12,435
12,475
12,515
12,565
12,614
12,615
12,693
12,735
12,875
13,87
13,179
13,193
13,327
13,357
13,377
13,487
13,507
13,557
13,567
13,574
13,587
13,617
13,704
13,747
13,756
13,777
13,847
13,853
13,880
14,82
14,92
14,113
14,222
14,242
14,332
14,342
14,422
14,452
14,457
14,512
14,672
14,702
14,763
14,772
14,782
14,812
14,852
14,882
14,912
14,922
15,25
15,137
15,225
15,248
15,255
15,365
15,395
15,415
15,429
15,435
15,455
15,475
15,515
15,675
15,695
15,755
15,825
15,900
15,915
15,919
15,935
15,955
15,981
16,32
16,62
16,102
16,112
16,132
16,162
16,169
16,282
16,322
16,352
16,372
16,482
16,492
16,542
16,551
16,562
16,622
16,632
16,650
16,742
16,782
16,872
16,952
16,978
17,1
17,46
17,106
17,186
17,200
17,216
17,256
17,266
17,331
17,366
17,386
17,446
17,456
17,466
